ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Response,Z_Revenue_correct,Age,MntTotal,NumTotalPurchases,AcceptedTotalFirstFiveCmps,AcceptedTotalFirstFiveCmpsMorePilot,TotalYearAfterRegistration,TotalChildren,DaysOfRegistration,NumTotalPurchasesByMonthRegistred,PurchaseEveryNDays
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,False,False,False,False,False,False,3,True,11,63,1529,22,0,1,8,0,664,0.9939759036144579,30.18181818181818
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,False,False,False,False,False,False,3,False,0,66,21,4,0,0,6,2,114,1.0526315789473684,28.5
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,False,False,False,False,False,False,3,False,0,55,734,20,0,0,7,0,313,1.9169329073482428,15.65
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,False,False,False,False,False,False,3,False,0,36,48,6,0,0,6,1,140,1.2857142857142856,23.333333333333336
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,False,False,False,False,False,False,3,False,0,39,407,14,0,0,6,1,162,2.5925925925925926,11.571428571428571
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,False,False,False,False,False,False,3,False,0,53,702,20,0,0,7,1,294,2.0408163265306123,14.7
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,False,False,False,False,False,False,3,False,0,49,563,17,0,0,8,1,594,0.8585858585858586,34.94117647058824
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,False,False,False,False,False,False,3,False,0,35,146,8,0,0,7,1,418,0.5741626794258373,52.25
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,False,False,False,False,False,False,3,True,11,46,44,5,0,1,7,1,389,0.3856041131105398,77.8
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,True,False,False,False,False,False,3,False,0,70,36,1,1,1,6,2,109,0.27522935779816515,109.0
1994,1983,Graduation,Married,,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,False,False,False,False,False,False,3,False,0,37,18,3,0,0,7,1,227,0.39647577092511016,75.66666666666666
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,False,False,False,False,False,False,3,False,0,44,45,5,0,0,8,0,594,0.25252525252525254,118.8
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,False,False,False,False,False,False,3,False,0,61,1072,15,0,0,7,0,227,1.9823788546255507,15.133333333333333
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,False,False,False,False,False,False,3,False,0,68,296,12,0,0,7,2,227,1.5859030837004406,18.916666666666664
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,False,False,False,False,False,False,3,False,0,33,41,4,0,0,8,0,628,0.19108280254777069,157.0
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,False,False,True,True,False,False,3,True,11,74,1270,25,2,3,8,0,583,1.2864493996569468,23.32
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,False,False,False,False,False,False,3,False,0,40,92,6,0,0,8,2,553,0.325497287522604,92.16666666666667
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,False,False,False,False,False,False,3,False,0,74,289,11,0,0,8,0,668,0.4940119760479042,60.72727272727273
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,False,False,False,True,False,False,3,False,0,71,1606,24,1,1,7,1,459,1.5686274509803921,19.125
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,False,False,False,False,False,False,3,False,0,35,94,6,0,0,8,1,604,0.2980132450331126,100.66666666666666
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,False,False,False,False,False,False,3,False,0,38,268,11,0,0,8,0,691,0.47756874095513746,62.81818181818182
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,False,False,False,False,False,False,3,False,0,41,1729,28,0,0,7,1,540,1.5555555555555556,19.285714285714285
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,False,True,False,False,False,False,3,False,0,71,953,14,1,1,8,1,554,0.7581227436823106,39.57142857142856
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,False,False,False,False,False,False,3,False,0,66,539,17,0,0,6,1,170,3.0,10.0
